,KG1a_Ctrl_Nonresponsive_116,KG1a_T0_Nonresponsive_117,KG1a_LGT_Nonresponsive_118,KG1a_SYT_Nonresponsive_119,KG1a_ComboT_Nonresponsive_120
TSPAN6_ENSG00000000003.15,280.9116303,296.1652536,302.6006361,231.1530181,168.0866556
DPM1_ENSG00000000419.13,2388.759331,1899.320648,2219.911888,2198.772611,1945.002729
SCYL3_ENSG00000000457.14,1531.877812,1377.812267,1286.893261,1435.403863,1611.172089
C1orf112_ENSG00000000460.17,2831.34672,2626.857032,2456.108496,3188.784074,3074.170228
FGR_ENSG00000000938.13,6.062840943,4.598839342,26.89783432,177.0293846,2072.09264
CFH_ENSG00000000971.16,11722.50296,10790.71663,7012.769741,5427.021834,4337.45565
FUCA2_ENSG00000001036.14,1207.515821,983.2318514,783.3994245,1076.834791,1127.996163
GCLC_ENSG00000001084.13,4774.487242,4361.539232,3458.052824,4535.109457,3779.899914
NFYA_ENSG00000001167.14,6411.454297,5701.641017,4315.421293,5648.026671,5152.705213
STPG1_ENSG00000001460.18,601.2317268,504.0327919,411.0325306,572.8084545,594.4528064
NIPAL3_ENSG00000001461.17,3046.577574,2907.386232,2250.171952,3503.377693,3986.640644
LAS1L_ENSG00000001497.18,6881.32447,6362.954114,5508.172134,6568.12844,6125.499411
SEMA3F_ENSG00000001617.12,3.031420471,3.679071474,8.405573224,4.510302792,72.62280591
ANKIB1_ENSG00000001629.10,5441.399746,5288.665244,4634.833076,5494.676376,5347.732587
CYP51A1_ENSG00000001630.17,10320.97623,10267.36872,8087.842556,10242.89764,10431.91467
KRIT1_ENSG00000001631.16,4014.611178,3920.970423,3675.757171,4592.615817,4405.978781
RAD52_ENSG00000002016.18,1457.102773,1403.565767,1231.416477,1418.490228,1453.627454
BAD_ENSG00000002330.14,1803.69518,1283.995944,900.2368923,1238.078116,1250.400731
LAP3_ENSG00000002549.13,7848.3476,6720.743815,5666.19691,7469.061423,6776.176326
CD99_ENSG00000002586.20,4290.470441,3585.255151,2174.521793,2594.551681,2386.596243
CD99_ENSG00000002586.20_PAR_Y,4290.470441,3585.255151,2174.521793,2594.551681,2386.596243
AOC1_ENSG00000002726.21,12.12568189,10.11744655,22.6950477,30.44454384,96.04951749
MAD1L1_ENSG00000002822.16,1607.663323,1393.448321,948.989217,1182.826907,1312.481516
LASP1_ENSG00000002834.18,17398.33256,15124.66283,12133.44495,21776.86945,28019.51839
SNX11_ENSG00000002919.15,1839.061753,1484.50534,1159.128548,1618.071126,1727.719979
TMEM176A_ENSG00000002933.9,29.30373122,21.15466097,26.89783432,20.29636256,18.15570148
M6PR_ENSG00000003056.8,20047.79405,16356.232,14152.46364,18818.11082,18557.46958
KLHL13_ENSG00000003096.14,0,0,0,0,0
ICA1_ENSG00000003147.19,738.6561215,600.6084181,409.351416,526.5778509,533.5433563
DBNDD1_ENSG00000003249.15,33.34562519,38.63025047,25.21671967,24.80666535,26.35505053
ALS2_ENSG00000003393.16,4456.188093,4200.579855,3421.068302,3507.887996,3319.565031
CASP10_ENSG00000003400.15,6173.993027,5392.599013,4245.655035,4906.081861,4171.711665
CFLAR_ENSG00000003402.20,23742.08513,22768.85358,18202.26882,20932.31526,21690.79226
TFPI_ENSG00000003436.16,5388.855125,5225.201261,6028.477116,5078.600943,4591.63547
NDUFAF7_ENSG00000003509.16,1865.334063,1832.177594,1763.489262,1977.767774,1793.314772
RBM5_ENSG00000003756.17,17136.61992,16868.54271,14152.46364,14566.02287,14721.93123
MTMR7_ENSG00000003987.14,128.3301333,116.8105193,143.7353021,120.6505997,126.5042426
ARF5_ENSG00000004059.11,3238.567537,2597.424461,1750.040345,2419.777448,2347.942168
SARM1_ENSG00000004139.14,136.4139212,126.008198,160.5464486,134.181508,162.2299777
POLDIP2_ENSG00000004142.12,8587.003722,6858.708995,5062.676753,7319.093855,7013.37178
PLXND1_ENSG00000004399.13,3857.987787,3509.834186,2031.627048,1646.260519,1012.619608
AK2_ENSG00000004455.17,25083.99393,20388.49434,17483.59231,23977.89722,22848.65748
CD38_ENSG00000004468.13,873.0490958,753.2898843,2933.545055,8216.64411,10436.60001
FKBP4_ENSG00000004478.8,40653.36947,32499.99763,33238.99876,43444.36406,50800.82407
KDM1A_ENSG00000004487.17,13434.24506,11487.90068,8772.056216,12528.49358,11621.99162
RBM6_ENSG00000004534.15,10582.68887,10791.6364,9484.848826,9802.015542,9742.58368
CAMKK1_ENSG00000004660.15,304.1525206,281.4489677,236.1966076,285.2766516,305.1329184
RECQL_ENSG00000004700.16,3651.851195,3131.809592,3118.467666,3503.377693,3317.22236
VPS50_ENSG00000004766.17,1766.307661,1618.791448,1497.032591,1796.228087,1723.034637
HSPB6_ENSG00000004776.13,9.094261414,6.438375079,16.81114645,3.382727094,22.255376
